Id,Age,Department,Gender,Stress_Level,Stress_Sources,Sleep_Hours,Academic_Performance,Relaxation_Activities,Physical_Activity,Social_Media_Usage,Social_Media_Impact,Financial stress,Preferred_App_Features
24,19,FOE,Male,Very High,Academic Pressure,5,B,Listening to Music,Low,Heavy Use,Positively,Low,"Chatbot, Books"
25,19,FMSH,Male,High,Academic Pressure,8,C,Listening to Music,Moderate,Heavy Use,Positively,Low,"Chatbot, Music"
26,19,FOE,Male,High,Academic Pressure,8,D,Listening to Music,Moderate,Heavy Use,Positively,High,"Games, Music"
27,20,FMSH,Female,Very Low,No Data,7,C,Sports,High,Heavy Use,Negatively,High,"Games, Music"
28,24,FOE,Male,Very High,Academic Pressure,4,B,Sports,Moderate,Light Use,Negatively,Moderate,"Games, Music, Books, Chatbot"
29,23,FOC,Female,Very High,Academic Pressure,5,B,Listening to Music,Moderate,Heavy Use,Negatively,Moderate,"Chatbot, Music, Games, Books"
30,23,FMSH,Female,Very High,Academic Pressure,4,A,Reading,High,Heavy Use,Positively,Moderate,Books
31,22,FOC,Male,Very High,Academic Pressure,4,A,Gaming,Low,Heavy Use,Negatively,Moderate,"Chatbot, Books, Games, Music"
32,22,FMSM,Female,High,Academic Pressure,5,A,Sports,Moderate,Moderate Use,Positively,High,Chatbot
33,21,FOE,Female,Very Low,No Data,4,C,Others,Low,Heavy Use,Positively,Moderate,"Books, Chatbot"
34,22,FOE,Male,Very High,Academic Pressure,7,D,Others,Low,Light Use,Positively,High,"Chatbot, Games, Books"
35,23,FMSH,Male,Very Low,No Data,6,C,Others,High,Heavy Use,Positively,Moderate,Games
36,23,FOE,Female,High,Academic Pressure,5,B,Others,High,Heavy Use,Negatively,Low,"Chatbot, Music, Books"
37,21,FOE,Male,Moderate,No Data,4,C,Gaming,Moderate,Moderate Use,Positively,High,"Games, Chatbot"
38,21,FMSM,Female,High,Academic Pressure,4,D,Reading,Moderate,Moderate Use,Negatively,Moderate,Games
39,21,FOE,Female,Low,No Data,7,C,Reading,Moderate,Moderate Use,Positively,Moderate,"Books, Music, Games"
40,23,FOE,Female,High,Academic Pressure,5,C,Others,Moderate,Heavy Use,Negatively,Low,"Books, Games, Music, Chatbot"
41,22,FOE,Female,Moderate,Academic Pressure,4,C,Sports,Moderate,Heavy Use,Positively,Moderate,"Music, Books, Chatbot, Games"
42,20,FMSH,Female,Low,No Data,8,D,Gaming,High,Heavy Use,Positively,High,Books
43,22,FOE,Female,Low,No Data,6,D,Reading,Moderate,Heavy Use,Negatively,Moderate,"Music, Books, Chatbot, Games"
44,21,FOC,Female,High,Academic Pressure,4,B,Reading,Low,Moderate Use,Negatively,Moderate,"Music, Chatbot, Books"
45,21,FOE,Female,High,Academic Pressure,7,A,Gaming,Moderate,Heavy Use,Negatively,Moderate,"Books, Music, Games, Chatbot"
46,20,FMSH,Female,Very Low,No Data,4,C,Sports,Moderate,Moderate Use,Positively,High,"Games, Books, Chatbot, Music"
47,20,FOE,Male,Very High,Academic Pressure,4,C,Others,Low,Moderate Use,Positively,Low,"Books, Games, Music"
48,21,FOC,Female,Very Low,No Data,6,C,Others,Low,Heavy Use,Negatively,Low,"Chatbot, Books"
49,21,FOC,Female,High,Academic Pressure,8,D,Reading,Low,Heavy Use,Positively,Moderate,"Chatbot, Games, Books"
50,22,FMSH,Female,Moderate,Academic Pressure,4,C,Sports,Moderate,Heavy Use,Positively,,"Music, Games, Chatbot, Books"
